window,global_epoch,epoch_local,phase,dife_r,mv_r,r_combined,n_replay_per_batch,alpha,beta,proxy
0,0,-1,pre_window,1.0,0.81175,0.81175,207,0.9,0.01,
0,0,0,training,1.0,,,207,,,0.0525
0,1,1,training,1.0,,,207,,,0.1428
0,2,2,training,1.0,,,207,,,0.17551
0,3,3,training,1.0,,,207,,,0.12936
0,4,4,training,1.0,,,207,,,0.046
1,5,-1,pre_window,0.899,0.8077,0.72612,185,0.9,0.01,
1,5,0,training,0.899,,,185,,,0.05747
1,6,1,training,0.899,,,185,,,0.12496
1,7,2,training,0.899,,,185,,,0.17642
1,8,3,training,0.899,,,185,,,0.14079
1,9,4,training,0.899,,,185,,,0.04936
2,10,-1,pre_window,0.8062,0.80354,0.64781,165,0.9,0.01,
2,10,0,training,0.8062,,,165,,,0.04606
2,11,1,training,0.8062,,,165,,,0.13042
2,12,2,training,0.8062,,,165,,,0.1651
2,13,3,training,0.8062,,,165,,,0.13375
2,14,4,training,0.8062,,,165,,,0.05009
3,15,-1,pre_window,0.94119,0.09123,0.08587,21,0.980001,1.54e-05,
3,15,0,training,0.94119,,,21,,,0.05107
3,16,1,training,0.94119,,,21,,,0.14476
3,17,2,training,0.94119,,,21,,,0.17585
3,18,3,training,0.94119,,,21,,,0.1373
3,19,4,training,0.94119,,,21,,,0.05978
4,20,-1,pre_window,0.92237,0.09399,0.08669,22,0.980001,1.54e-05,
4,20,0,training,0.92237,,,22,,,0.04431
4,21,1,training,0.92237,,,22,,,0.12806
4,22,2,training,0.92237,,,22,,,0.17225
4,23,3,training,0.92237,,,22,,,0.12573
4,24,4,training,0.92237,,,22,,,0.04071
